naam,QID,Facebook_ID,image,commons_category,LinkedIn_ID,Twitter_username,geboortejaar,sterfjaar
Ralf-Udo Ehlers,Q55232574,,,,,,1956,
Marlina A. Elburg,Q57896977,,,,,,1966,
Dirk Elewaut,Q55232692,,,,,,1966,
Anjo Elgersma,Q55233544,,,,,,1959,
Monique Elseviers,Q55232822,,,,,,1949,
Philippus Elsinga,Q55233253,,,,,,1961,
Eric Engelbrecht,Q88782154,,,,,,1947,2014
Christian Engels,,,,,,,1945,
Johan Erauw,Q55232111,,,,,,1948,
Anton Ervynck,Q55233414,,,,,,1961,
Karel Everaert,Q88691257,,,,,,1963,
Patricia Everaert,Q55232109,,,,,,1968,
Veerle Fack,Q55232891,,,,,,1963,
Yves Fassin,Q55231984,,,,,,1954,
Hendrik Ferdinande,Q55232317,,,,,,1940,
Wim Fias,Q49068635,,,,,,1968,
Peter Finke,Q57465809,,,,,,1960,
Johnny Fontaine,Q55233041,,,,,,1969,
Maw-Der Foo,Q55232744,,,,,,1965,
Norbert Fraeyman,Q55233319,,,,,,1948,
Rudolf Frambach,Q55232345,,,,,,1965,
Luc François,Q55825507,,Luc François R01.jpg,,,,1951,
Dirk Fremaut,Q55233334,,,,,,1960,
Dirk Frimout,Q52494,,Frimout.jpg,Dirk Frimout,,,1941,
Donald Gabriëls,Q55233492,,,,,,1946,
Sylvie Gadeyne,,,,,,,,
Edwin Galea,Q55232926,,,,,,1957,
Helmut Gaus,Q55233556,,,,,,1942,
Danny Geelen,Q55232636,,,,,,1966,
Filip Geerardyn,Q55233539,,,,,,1961,2018
Jean-François Geleyn,Q46514815,,,,,,1950,2015
Xavier Gellynck,Q55233518,,,,,,1964,
Paul Gemmel,Q55232010,,,,,,1966,
Gerard Genie,,,,,,,,2004
Tom Gerats,Q55232416,,,,,,1952,
Piet Gerbrandy,Q2017818,,Piet Gerbrandy.jpg,Piet Gerbrandy,,,1958,
Jan Gerris,,,,,,,1952,
Jan Gettemans,Q32426369,,,,,,1965,
Maggie Geuens,Q55232079,,,,,,1969,
Godelieve Gheysen,Q55233511,,,,,,1959,
William Gibbons,,,,,,,,
Frank Gielen,,,,,,,1962,
Thierry Gillebert,Q38359859,,,,,,1950,
Monique Gillis,Q21390753,,,,,,1942,2022
Bruno Goddeeris,Q38320131,,,,,,1951,
Maurice Godfrey,,,,,,,,
Els Goetghebeur,Q55232694,,,,,,1961,
Paul Goetghebeur,Q2841931,,,,,,1952,
Ingeborg Goethals,Q88104809,,,,,,1968,
Koen Goethals,Q27942744,,,,,,1961,
Sofie Goormachtig,Q39186030,,,,,,1969,
Daniël Goossens,,,,,,,,
Jan Goossens,,,,,,,1968,
Roland Goossens,,,,,,,1958,
Rudi Goossens,Q55232523,,,,,,1959,
Derrick Gosselin,Q5263022,,,,,,1956,
Lucia Goubert,Q55231988,,,,,,1961,
Inge Govaere,Q55232149,,,,,,1965,
Willy Govaerts,Q26820897,,,,,,1951,
Jens Greinert,Q55233374,,,,,,1968,
Susan Griffin,Q7647892,,,,,,1943,
Johan Grooten,Q104507230,,,,,,1952,
Martin Werner Grünewald,Q96691158,,,,,,1962,
Mieke Grypdonck,Q13856458,,,,,,1946,
Hubert Gulinck,Q55233307,,,,,,1951,
Kathleen Gyssels,Q55232564,,,,,,1963,
Pascale Hadermann,Q55231990,,,,,,1961,
Yves Haeck,Q55232487,,,,,,1968,
Guy Haegeman,Q55233579,,,,,,1946,2019
Liliane Madeleine Victor Haegeman,Q11348550,,,,,,1954,
Ernie Haerinck,Q55233576,,,,,,1949,2016
Geert Haesaert,Q37338286,,,,,,1959,
Freddy Haesebrouck,Q38318822,,,,,,1958,
Fernand Hallyn,Q55232763,,,,,,1945,2009
Hamphrey Ham,Q55232038,,,,,,1948,
Moustapha Hamdi,Q55232057,,,,,,1967,
Robert J Hartsuiker,Q48689786,,,,,,1968,
José Haustraete,Q55233537,,,,,,1947,
Marc Hautekeete,Q55948343,,,,,,,
Patrick Hebberecht,Q55233130,,,,,,1951,2015
Aimé Heene,Q55232878,,,,,,1950,
Johan Heene,Q55232399,,,,,,1940,1997
Carlo Heip,Q16115994,,,,,,1945,2013
