naam,QID,Facebook_ID,image,commons_category,LinkedIn_ID,Twitter_username,geboortejaar,sterfjaar
Leo Spanoghe,,,,,,,,1984
Marc Spoelders,Q55232333,,,,,,1947,2013
David Spreng,,,,,,,,
Peter Stabel,Q55233491,,,,,,1962,
Hilde Staels,Q55232401,,,,,,1956,
Roger Standaert,Q55232713,,,,,,1945,
Franky Steenbrugge,Q55233016,,,,,,1969,
Dieter Stern,,,,,,,1962,
Walter Steurbaut,Q55233599,,,,,,1946,
Chris Stevens,,,,,,,1965,
Marc Stevens,,,,,,,1946,
Peter Stevens,,,,,,,1955,2012
Theo Stijnen,Q55233086,,,,,,1951,
Leo Storme,Q55233167,,,,,,1966,
Francis Strauven,Q55233010,,,,,,1942,
M.M.R.F. Struys,Q21546479,,,,,,1966,
Sergei A. Subbotin,Q21395003,,,,,,1958,
Hans Svensk,,,,,,,,
Rony Swennen,Q55232291,,,,,,1955,
Jean Swings,Q21340550,,,,,,1945,
Erik Swyngedouw,Q1107767,,,,,,1956,
Hilde De Ridder-Symoens,Q17279064,,,,,,1943,
Stanislas Sys,Q55232859,,,,,,1954,
Roman Szucs,Q79347252,,,,,,1967,
Filip M G Tack,Q43346031,,,,,,1963,
Johan Taeldeman,Q2205298,,,,,,1943,2017
Piet Taelman,Q55233430,,,,,,1959,
Luc Taerwe,Q55232419,,,,,,1952,
Durk Talsma,Q55233665,,,,,,1969,
Michel Tanret,Q55233026,,,,,,1946,
Dirk Tavernier,Q55232552,,,,,,1941,
Jan Tavernier,Q29998792,,,,,,1956,
Rene H Tavernier,Q91107359,,,,,,,
Marleen Temmerman,Q340097,,"Marleen Temmerman, Vlaamse gynaecologe, hoogleraar en politica.jpg",Marleen Temmerman,,MamaDaktari,1953,
Charles Thas,Q55232318,,,,,,1949,
Joseph A. Thas,Q1706394,,Blokhuis Hirschfeld Jungnickel Thas.jpg,,,,1944,
Guy Theuniers,Q55232549,,,,,,1946,
Jan Theuns,,,,,,,,1984
Peter Theuns,Q55233153,,,,,,1962,
Kristiaan Thienpont,Q55233503,,,,,,1968,
Linda Thienpont,Q55232669,,,,,,1953,
Hubert Thierens,Q55232793,,,,,,1950,
Evert Thiery,Q55233506,,,,,,1947,
Erik Thoen,Q55232468,,,,,,1953,
Hugo Thoen,Q55233317,,,,,,1941,
Paul Thomas,,,,,,,1940,
Joannes Thuy,,,,,,,,
Luc Tirry,Q55232535,,,,,,1961,
Michel Tison,Q55233391,,,,,,1967,
Jan Tolleneer,Q55233119,,,,,,1955,
Eva M Top,Q91595750,,,,,,1966,
Paul Torremans,Q55233137,,,,,,1965,
Philip Traest,Q55233160,,,,,,1959,
Peter A. Troch,Q55232097,,,,,,1968,
Roberto Troisi,Q55232615,,,,,,1964,
Pieter Truyens,,,,,,,1946,
Yves T' Sjoen,Q42273553,,,,,,1966,
Jeffrey Tyssens,Q2065820,,,,,,1965,
George Tzotzos,Q52610293,,,,,,1951,
Christian Uhl,Q55233081,,,,,,1965,
Dirk Uyttendaele,Q55232527,,,,,,1947,2018
Mieke Uyttendaele,Q55233097,,,,,,1969,
Jozef Uyttenhove,Q55233397,,,,,,1944,
Pieter Uyttenhove,Q55232484,,Pieter Uyttenhove Boekentoren Gent 25-11-2019 15-06-55.jpg,Pieter Uyttenhove,,,1957,
Martin Valcke,Q49067424,,,,,,1957,
Constantine Vamvakas,,,,,,,1943,
Cathy Van Acker,Q55233697,,,,,,1950,
Joris Van Acker,Q55233575,,,,,,1960,
Jozef Van Aken,,,,,,,1941,
Piet Van Avermaet,Q55233019,,,,,,1958,
Simon Van Belle,Q63413398,,Simon Van Belle.jpg,,,,1953,
Jean Paul Van Bendegem,Q2229166,,,,,,1953,
Stephanie Van Biervliet,Q42783088,,,,,,1968,
Wim Van Biesen,Q62576244,,,,,,1966,
Erik Van Bockstaele,Q55232666,,,,,,1948,
Jan Van Bocxlaer,Q55233532,,,,,,1963,
John Van Borsel,Q55232172,,,,,,1958,
Lucas Van Bortel,Q55232096,,,,,,1949,
Johan van Braak,Q55233590,,,,,,1967,
Henri Van Bree,Q55232620,,,,,,1950,
Frank Van Breusegem,Q40335735,,,,,,1967,
Serge Van Calenbergh,Q42705810,,,,,,1968,
André Van Calster,Q55233355,,,,,,1946,
John Van Camp,,,,,,,1965,
Jan Van Campenhout,Q60702994,,,,,,1949,
Paul Van Cauwenberge,Q2386672,,Paul Van Cauwenberge 675.jpg,,,,1949,
Oswald Van Cleemput,Q55233640,,,,,,1942,
Rudy Van Coster,Q114316330,,,,,,1954,
Hans Van Crombrugge,Q113834066,,,,,,,
Stefaan Van Crombrugge,Q55232039,,,,,,1955,
Marnix Van Daele,Q55232147,,,,,,1966,
Peter Van Daele,Q55232347,,,,,,1961,
Dirk Van Damme,Q18048585,,Dirk van damme-1510674697.jpg,Dirk Van Damme,,,1956,
Dirk Van Damme,,,,,,,1945,
Els Van Damme,Q21259178,,,,elsjmvandamme,,1964,
Claire Van Damme,Q55232206,,,,,,1950,
Patrick Van Damme,Q33697207,,,,,,1956,
Wilfried van Damme,Q55233633,,,,,,1960,
Dirk Van de gaer,Q55233376,,,,,,1965,
Yves Van de Peer,Q28468994,,,,,,1965,
Gertrudis Van de Vijver,Q95748345,,,,,,1962,
Eddy Van de Voorde,Q55232469,,,,,,1955,
Christophe Van de Wiele,Q21552036,,,,,,1966,
Inge Van De Woesteyne,Q55233392,,,,,,1968,
Hendrikus van den Berg,,,,,,,1941,
Norbert Van den Bergh,Q102268536,,,,,,1952,
Gie van den Berghe,Q2252725,,,,,,1945,
Lutgart Van den Berghe,Q55233302,,,,,,1951,
Alex Van den Bossche,Q55232824,,,,,,1955,
Frank Van Den Bossche,Q115556552,,,,,,1955,
Antoon Van den Braembussche,Q52802455,,Antoon van den braembussche-1540372790.jpg,Antoon Van den Braembussche,,,1946,
Herman Van den Broeck,Q55233460,,,Herman Van den Broeck,,,1955,
Willem Van den Broeck,,,,,,,,
Peter Van den haute,Q55233713,,,,,,1948,
Nele Van Den Noortgate,Q55232699,,,,,,1965,
Dirk Van den Poel,Q41805396,,,,,,1969,
Christoph Van der Elst,Q55233536,,,,,,1969,
Josiane Van der Elst,Q55233045,,,,,,1959,
Johan Van der Eycken,Q101464306,,,,,,1957,
Joris Van der Jeugt,Q55232431,,,,,,1959,
Pieter Van der Meer,,,,,,,1959,
Jacob Van der Meere,Q55232463,,,,,,1953,
Paul Van der Meeren,Q43327883,,,,,,1963,
Dominique Van Der Straeten,Q21258362,,,,,,1960,
Patrick Van der Stuyft,Q77050149,,,,,,1952,
Johannes Van der Tak,Q55233126,,,,,,1942,
Pascal Van Der Voort,Q40932096,,,,,,1967,
Steven Van Dessel,Q88606415,,,,,,1966,
Roland Van Dierdonck,Q55232100,,,,,,1947,2020
Rudi Van Doorslaer,Q14289709,,,,,,1951,
Isabel Van Driessche,Q40932050,,,,,,1966,
Frank Van Dun,Q374752,,Frank van Dun.jpg,,,,1947,
Caroline van Eck,Q30126630,,,,,,1959,
Willy Van Eeckhoutte,Q55231992,,Willy van Eeckhoutte.jpg,,,,1953,
Hendrik Van Egmond,,,,,,,1944,
Jan Maria Hendrik Van Geel,Q102111958,,,,,,1950,
Patrick Van Gelder,Q55232556,,,,,,1964,
Geert Van Goethem,Q19587616,,,,,,1957,
Ann Van Gysel,Q4766724,,,,annvangysel,AnnVanGysel,1964,
Luc Van Ham,Q93141765,,,,,,1959,
Willem Van Hecke,,,,,,,,1971
Cornelis Van Heeringen,Q55232112,,,,,,1955,
Mieke Van Herreweghe,Q28584406,,Mieke Van Herreweghe 2013.jpg,,,,1965,
Alain Van Hiel,Q59682050,,,,,,1966,
Mark Van Hoecke,Q55233076,,,,,,1949,
Hubert Van Hoorde,Q55233389,,,,,,1945,
Luc Van Hoorebeke,Q109714397,,,,,,1963,
Geert Van Hoorick,Q55232738,,,,,,1968,
Guido Van Hooydonk,Q55232327,,,,,,1944,
Geert Van Hove,Q55233444,,,,,,1957,
Guido Van Huylenbroeck,Q18690392,,,,,,1958,
William Van Impe,Q2580843,,,,,,1949,
Philip Van Isacker,Q22236388,,,,,,1949,
Roger Van Keer,Q102400453,,,,,,1947,
Patrick Van Kenhove,Q55231989,,,,,,1960,
Henri van Kerckhoven,,,,,,,,1998
Jacques Van Keymeulen,Q55232892,,,,,,1952,
Marie-Christine Van Labeke,Q91524874,,,,,,1957,
Hendrik Van Landeghem,Q55232946,,,,,,1956,
Anita Van Landschoot,Q114337927,,,,,,1952,
Herman Van Langenhove,Q55233174,,,,,,1953,
Lieva Van Langenhove,Q55232780,,,,,,1961,
Nic Van Larebeke,Q55233208,,,,,,1947,
Kristiane Van Lierde,Q55233166,,,,,,1968,
Philippe Van Loocke,Q55232131,,,,,,1963,
Gunther Van Loon,Q42762702,,,,gunthervanloon,,1968,
Jos van Loon,Q55233587,,,,,,1954,
Georges Van Maele,Q55233049,,,,,,1951,
Hendrik Van Maldeghem,Q55233340,,,,,,1960,
Guido Van Meel,,,,,,,1952,
Jan Van Meerbeeck,Q55233189,,,,,,1954,
Marc Van Meirvenne,Q55109059,,,,,,1959,
Monique Van Melkebeek,Q55231960,,,,,,1943,
Cornelis Van Minnen,Q55232024,,,,,,1956,
Myriam Van Moffaert,Q55233541,,,,,,1943,
Dimitri Van Neck,Q55232016,,,,,,1965,
Yves Van Nieuwenhove,Q114399106,,,,,,1967,
Leo Van Noorden,Q55232883,,,,,,1945,
Paulette Van Oost,Q55233513,,,,,,1945,
Patric Van Oostveldt,Q55232641,,,,,,1945,
Herman van Oyen,Q47014183,,,,,,1955,
Roger Van Parijs,,,,,,,,
Carlos Van Peteghem,Q55231994,,,,,,1946,2014
Marleen Van Peteghem,Q55232368,,,,,,1958,
Eric Van Ranst,Q55232029,,,,,,1953,
Kristien van Reeth,Q41907091,,,,,,1967,
Pieter Van Rensbergen,Q55233388,,,,,,1966,
Peter van Rijk,,,,,,,1944,
Ronan Van Rossem,Q55232909,,,,,,1961,
Frans Van Roy,Q5492405,,,,,,1950,
Nadine Van Roy,Q40185229,,,,,,1964,
Linda Van Santvoort,Q55232442,,,,,,1956,
Robert Van Severen,,,,,,,1953,
Ann Van Soom,Q55233677,,,,,,1964,
Kristel Van Steen,Q55094104,,,,,,1969,
Marleen Van Troys,Q61116293,,,,,,1967,
Marc Van Uytfanghe,Q55233395,,,,,,1948,
Hans Van Vlierberghe,Q92049104,,,,,,1964,
Hilde Van Waelvelde,Q55232373,,,,,,1958,
Myriam Van Winckel,Q55232591,,,,,,1958,
Adrien Van Zundert,Q55233020,,,,,,1951,
Erick Vandamme,Q55232321,,,,,,1943,
F. Vandamme,Q75042246,,,,,,1943,
Peter Vandamme,Q21337596,,,,peter-vandamme-40a13215,,1964,
Sofie Vandamme,Q55233379,,,,,,1969,
Johan Vande Lanotte,Q946183,,Johan-vande-lanotte-1338926669.jpg,Johan Vande Lanotte,,,1955,
Johan Vande Walle,Q55233238,,,,,,1957,
Bart Vandekerckhove,Q37843198,,,,,,1960,
Joël Vandekerckhove,Q6298519,,,,,,1944,
Guido Vanden Berghe,Q31191626,,,,,,1945,
Geert Vanden Bossche,Q110553483,,,,,,,
Peter Vandenabeele,Q30112482,,,,,,1961,
Anne-Marie Vandenbergen,Q55232539,,,,,,1949,
Robert Vandenberghe,Q54555003,,,,,bergspanning,1945,
Michel Vandenbroeck,Q55233434,,,,,,1959,
Christiaan Vandenbroeke,Q1946075,,Christiaan Vandenbroeke.jpg,,,,1944,2007
Sonia Vandepitte,Q55232110,,,,sonia-vandepitte-91703111,soniavandepitte,1958,
Joost Vander Auwera,Q39086880,,Joost Vander Auwera Warsaw.jpg,,,,1957,
Tom Vander Beken,Q55233171,,,,,,1968,
Jean-Pierre Vander Motten,Q55233069,,,,,,1946,
Robert Vander Stichele,Q100755457,,,,,,1952,
Rudi Vander Vennet,Q55233553,,,,,,1965,
Patrick Vander Weyden,Q47164144,,,,,,1968,
André Vanderbauwhede,Q55232871,,,,,,1946,
Dirk Vandermeersch,Q55233655,,,,,,1954,
Dirk Vanderschueren,,,,,,,1963,
Alex Vanderstraeten,Q55233352,,,,,,1955,
Guy Vanderstraeten,Q55233514,,,,,,1951,
Raf Vanderstraeten,Q55233184,,,,,,1966,
Lieven Vandevelde,Q61759733,,,,,,1968,
Paul Vandevelde,,,,,,,1943,
André Vandierendonck,Q38590396,,,,,,1945,
Mario Vaneechoutte,Q21394718,,,,mario-vaneechoutte-a3614614,,1959,
Jacques R. Vanfleteren,Q84913837,,,,,,1945,
Jan Vanfleteren,Q42430764,,,,,,1958,
Frank Vanhaecke,Q47233653,,,,frank-vanhaecke-b8694b9,,1966,
Eric Vanhaute,Q55232009,,,,,,1959,
Bert Vanheel,Q55232245,,,,,,1957,
Hendrik Vanhees,Q55232343,,,,,,1962,
Jan Vanhellemont,Q62693763,,,,,,1953,
Filip Vanhoenacker,Q55232450,,,,,,1962,
Raymond Vanholder,Q55232541,,,,,,1949,
Christian Vanhove,Q88939350,,,,,,1966,
Michèle Vanmaele,Q55233216,,,,,,1964,
Ann Vanreusel,Q21394951,,,,,,1962,
Peter A. Vanrolleghem,Q39049235,,,,petervanrolleghem,,1964,
Piet Vanthemsche,Q2096248,,Piet Vanthemsche 675.jpg,Piet Vanthemsche,,,1955,
Oswald Varin,Q55232116,,,,,,1945,
Peter Veelaert,Q61129007,,,,,,1958,
Karel Velle,Q27964803,,,,,,1959,
Antoon Ven,,,,,,,,
René Venema,Q55232032,,,,,,1960,
Richard Venlet,Q21289740,,,,,,1964,
Ludo Veny,Q55232765,,,,,,1954,2018
Wim Verbaal,Q55233660,,,,,,1960,
Paul Verbeeck,,,,,,,,2003
Ronald Verbeeck,Q55233368,,,,,,1949,
Roger Verbeke,,,,,,,,1986
Tom Verbeke,,,,,,,1969,
Herman Verbist,Q55232737,,,,,,1959,
Koenraad Verboven,Q55233015,,,,,,1968,
Jozef Vercruysse,Q28817187,,,,,,1950,
Marc Verdonck,,,,,,,1940,2019
Pascal Verdonck,Q55232498,,,,,,1963,
René Verdonk,Q55233535,,,,,,1946,
Ann Vereecke,Q55233403,,,,,,1963,
Philippe Verelst,Q55232872,,,,,,1950,2022
Rik Verhaaren,Q55232125,,,,,,1946,
Marc Verhaege,Q114432511,,,,,,1948,
Jean-Pierre Verhaeghe,Q55232015,,,,,,1957,
Paul Verhaeghe,Q2578688,,,,,,1955,
Bruno Verhasselt,Q89266799,,,,,,1967,
Roland Verhé,Q55233327,,,,,,1944,
Frank Verheest,Q55233300,,,,,,1941,
Benedict Verhegghe,Q46178467,,,,,,1955,
Edgard Verheyden,,,,,,,,
Ronny Verhoeven,Q55232287,,,,,,1951,
Sabine Verhulst,Q55232942,,,,,,1956,
Gino Verleye,Q55232050,,,,,,1965,
Frank Vermassen,Q114403010,,,,,,1959,
Hubert Vermeersch,Q87756136,,,,,,1950,
René Vermeir,Q55232920,,,,,,1965,
Frank Vermeulen,,,,,,,1960,
Gert Vermeulen,Q55233148,,,,,,1968,
Michel Vermeulen,,,,,,,,
Urbain Vermeulen,Q2420272,,,,,,1940,2016
Jacques Verniers,Q56480196,,,,,,1949,
Jan Verplaetse,Q55232021,,Jan Verplaetse.jpg,Jan Verplaetse,,,1969,
Hubert Verplancke,Q114416859,,,,,,1941,
Francis Verpoort,Q47976689,,,,,,1963,
Walter Verraes,Q55233114,,,,,,1942,
Herbert Verreth,Q55232912,,,,,,1965,
Bart Verschaffel,Q18649101,,Bert Verschaffel.jpg,Bart Verschaffel,,,1956,
Henri Verschelde,Q102117482,,,,,,1957,
Dirk Verschuren,Q55232481,,,,,,1964,
Linda Versichelen,Q55232248,,,,,,1943,
Kristiaan Versluys,Q55233707,,,,,,1951,
Alain Verstraete,Q43112072,,,,,,1957,
Willy Verstraete,Q18691588,,Prof. Willy Verstraete - University of Ghent - Belgium (cropped).png,Willy Verstraete,,,1946,
Hans Verstraeten,Q55233591,,,,,,1955,
Bart Vervaeck,Q57497693,,,,,,1958,
Chris Vervaet,Q86991652,,,,,,1969,
Myriam Vervaet,Q55232829,,,,,,1956,
Ernst Verwaal,Q55232865,,,,,,1964,
Herman Verwilst,Q21674644,,,,,,1947,
Nicole Vettenburg,Q55232477,,,,,,1947,
Eric Veys,Q55231976,,,,,,1940,
Jacques Viaene,Q55233312,,,,,,1944,
Nicole M. Viaene,Q36645763,,,,,,1962,
Ronald Louis Leo Viane,Q19002985,,,,,,1951,
Jan Victor,,,,,,,1960,
Jan Vierendeels,Q55232396,,,,,,1968,2018
Geert Villeirs,Q90432461,,,,,,1968,
Bart Vinck,Q55233008,,,,,,1963,
Johny Vincke,Q55233419,,,,,,1956,2009
Magda Vincx,Q21340090,,,,,,1955,
Laszlo Vincze,,,,,,,1966,
Guy Vingerhoets,Q55232877,,,,,,1961,
Lieven Vlaminck,Q89929153,,,,,,1969,
Koen Vlassenroot,Q55233683,,,,,,1968,
Adriaan Vleeming,Q55232061,,,,,,1954,
Kris Vleminckx,Q88227306,,,,,,1965,
Peter Vlerick,Q87865253,,,,,,1966,
Dirk Voet,Q55232931,,,,,,1949,
Dirk Vogelaers,Q87756139,,,,,,1955,
Filip A M Volckaert,Q95947987,,,,,,,
Dirk Voorhoof,Q55232271,,,,,,1956,
An Vranckx,Q59534334,,,,,,1966,
Marnik Vuylsteke,Q55233442,,,,,,1965,
Patrick Vyncke,Q55232864,,,,,,1964,
André Vyt,Q55232144,,,,,,1961,
Wim Vyverman,Q21611923,,,,wim-vyverman-0521337a,,1963,
Wytse Wadman,Q55232157,,,,,,1951,
Hans Waege,Q55233522,,,,,,1968,
Cyriel Wagemans,Q55232675,,,,,,1945,
Anne Walraet,Q55232789,,,,,,1954,
Kristine Walraevens,Q60061772,,,,,,1958,
Michel Waroquier,Q55233550,,,,,,1946,
Jan Wastiels,Q55233594,,,,,,1951,
Jean-Baptiste Watelet,Q115625247,,,,,,1967,
Werner Waterschoot,Q55233545,,,,,,1941,
Erik Weber,,,,,,,1964,
André Weiermann,Q55232490,,,,,,1964,
Maria Wens,,,,,,,,1988
Stefaan Werbrouck,,,,,,,1964,
Jaak Weyne,Q55233525,,,,,,1940,
Patrick Wille,Q55233239,,,,,,1954,
Charles Willemen,Q2100768,,,,,,1941,
Anne Willems,Q51744551,,,,,,1963,
Dominique Willems,,,,,,,1948,
Jan Willems,,,,,,,,
Klaas Willems,,,,,,,1965,
Michel Willems,,,,,,,,1998
Frank Witlox,Q55232964,,,,,,1967,
Paul Eckhard Witten,Q90681137,,,,,,1960,
Sabine Wittevrongel,Q55233275,,,,,,1969,
Erik Witvrouw,Q55233030,,,,,,1965,
Mia Wouters,Q55232821,,,,,,1956,
Douglas Wright,,,,,,,1952,
Annelies Wylleman,Q55233164,,,,,,1963,
Eddy Wymeersch,Q5336702,,,,,,1943,
Patrick Wymeersch,Q55232843,,,,,,1945,1994
Guang Ye,Q88673623,,,,,,1966,
Aleksey Yudin,Q26255707,,,,,,1965,
Marc Zabeau,Q16137955,,,,,,1949,
Chantal Zabus,Q55232309,,,,,,1955,
Patricia C. Zambryski,Q85940354,,,,,,,
Paulus Zoontjens,Q55232135,,,,,,1953,
Jo Van Dorpe,Q90449307,,,,,,1964,
Koen Dewettinck,,,,,,,1968,
Gunnar Brinkmann,Q44057550,,,,,,1961,
Pieter Depuydt,Q96231992,,,,,,1968,
Johannes Ruige,Q55233415,,,,,,1962,
Filip Van den Bosch,Q55232011,,,,,,1966,
Stefan De Hert,Q42353736,,,,,,1958,
Chris Baeken,Q55232108,,,,,,1969,
Tom De Mulder,,,,,,,1967,
Adam Bezuijen,Q55233202,,,,,,1955,
Hans Verstraelen,Q37641058,,,,,,1967,
Rudi Roose,Q55233345,,,,,,1968,
Katrien Devreese,Q88037640,,,,,,1964,
Yolande Lievens,Q91947574,,,,,,1966,
Tine De Backer,Q88071820,,,,,,1966,
Denis Constales,Q55233505,,,,,,1965,
Luuk Boelens,Q55076615,,Luuk Boelens.jpg,Luuk Boelens,,,1957,
Tony Valcke,Q55232447,,,,,,1966,
Peter Daels,Q91119857,,,,,,1959,
Bruno De Cordier,Q13445805,,,,,,1967,
Dirk Verhofstadt,Q1998566,,Dirk Verhofstadt.jpg,Dirk Verhofstadt,,,1955,
Kristien Roelens,Q94468010,,,,,,1969,
Rita Godyns,Q55232567,,,,,,1949,
An Vermeulen,,,,,,,1966,
Luc De Visschere,Q55232398,,,,,,1953,
Joost Buysschaert,Q55232921,,,,,,1951,
Annie Clement,,,,,,,1958,
Bruno Seutin,Q55232436,,,,,,1957,
Paul Govaert,Q55669385,,,,,,1958,
Jan Beyens,,,,,,,1962,
Johan D'heer,,,,,,,1957,
Gilbert van Stappen,Q25440540,,,,,,1957,
Johan Verrue,Q55232088,,,,,,1963,
Filip Devos,Q55233524,,,,,,1964,
Pascal De Decker,Q55232234,,,,,,1958,
Stefaan Evenepoel,Q55233691,,,,,,1958,
Benny De Cauwer,Q55231978,,,,,,1969,
Daan Vandenhaute,Q55233211,,,,,,1967,
Piet Van Poucke,Q55232443,,,,,,1968,
Els Leye,Q55233406,,,,,,1960,
Guy Rooryck,Q55232243,,,,,,1956,
Luc Deliëns,Q2539312,,Luc deliens-1519092662.JPG,,lucdeliens,,1959,
Hans Lust,,,,,,,1969,
Anna Vermeulen,Q55232522,,,,,,1958,
Greet Van Hoye,Q96187688,,,,,,,
André Spithoven,Q55233154,,,,,,1960,
Jan Reniers,,,,,,,1956,
Frank Caestecker,Q55232076,,,,,,1960,
Erik Mannens,Q57418730,,,,erikmannens,erikmannens,1969,
Eugenia Russinova,Q45308143,,,,,,1968,
Dagmar R D'hooge,Q88362041,,,,,,,
Walter Van Trier,Q55232810,,,,,,1950,
Claudia Claes,Q55232069,,,,,,1965,
Carine Smolders,Q55232019,,,,,,1967,
Ludwig Cardon,Q55233605,,,,,,1966,
Jan Detand,Q89050442,,,,,,1963,
Marleen Easton,Q55233604,,,,,,1969,
Mia Eeckhout,Q55232497,,,,,,1963,
Petra Campe,Q55233118,,,,,,1968,
Lieve Macken,Q55232381,,,,,,1968,
Jan Devos,Q115632235,,,,,,1960,
Christiaan Stevens,,,,,,,1957,
Luc Van Ootegem,Q55232727,,,,,,1964,
Patrick Ampe,Q55232989,,,,,,1951,
Jan Desmet,,,,,,,1960,
Jan De Smet,,,,,,,1959,
Désirée Schyns,Q55233647,,,,,,1959,
Lieve Jooken,Q55233500,,,,,,1967,
Martine Lejeune,Q55232072,,,,,,1957,
Paul Devos,Q91810867,,,,,,1965,
Koen De Groote,Q55233631,,,,,,1964,
Sergei Glavatskih,Q50072619,,,,,,1966,
Frank A M Tuyttens,Q92654894,,,,,,1969,
Machteld C van Dierendonck,Q89880016,,,,,,1961,
Hildegard Vermeiren,Q55233630,,,,,,1953,
Jeremy Kennard,,,,,,,1951,
Manfred Sellink,Q55232929,,,,,,1962,
Joseph Koni Muluwa,Q55232794,,,,,,1964,
Philippe Carette,Q55232528,,,,,,1966,
Luc De Meyere,Q55233466,,,,,,1969,
Marc Dedecker,Q55232768,,,,,,1953,
Catharina Dehullu,Q55232627,,,,,,1952,
Stefan Ruysschaert,Q55233622,,,,,,1968,
Bart Sonck,Q55233642,,,,,,1965,
Luc Van Cauter,,,,,,,1952,
Gerrit Van Daele,,,,,,,1958,
Patricia Vanden Bulcke,Q55232214,,,,,,1954,
Jeroen Huisman,Q55233702,,,,,,1963,
Wim Serruys,Q55232882,,,,,,1961,
Philippe Bocher,Q95827723,,,,,,1960,2018
Rozita Dimova,Q55232426,,,,,,1969,
Saïd Hachimi-Idrissi,Q90781901,,,,,,1961,
Geert Verhoeven,,,,,,,1968,
Andreas Kortenhaus,Q55233022,,,,,,1963,
Walter Van Herck,Q55232940,,,,,,1962,
Johanna Barddal,Q55232031,,,,,,1969,
Wim Lagae,Q55232022,,,,,,1964,
Joachim Bretschneider,Q55233328,,,,,,1961,
Thea Hilhorst,Q14856180,,TheaHilhorst2017.jpg,Thea Hilhorst,,,1961,
Dermot Barnes-Holmes,Q5262789,,,,,,1963,
Deron Philippe,Q92975836,,,,,,1958,
Eline Van Hoecke,Q55232122,,,,,,1969,
Katia Verhamme,Q57338699,,,,,,1965,
Luc Renneboog,Q30071024,,,,,,1966,
Yvonne Barnes-Holmes,Q50931724,,,,,,1968,
Serge Zhuiykov,Q55233404,,,,,,1963,
Johan Speecke,Q55232759,,,,,,1960,
Steven P. Nolan,Q41156945,,,,,,1962,
Chris Verhofstede,Q88291585,,,,,,1960,
J.P.A. Christiaens,Q62482444,,,,,,1946,
Rita Cauwels,Q89891207,,,,,,1956,
Marc Coppens,,,,,,,1968,
An Mariman,,,,,,,1967,
Thierry Bove,Q63676462,,,,,,1964,
Vladimir V Galvita,Q59537157,,,,,,1969,
Peter Pype,Q64782462,,,,,,1966,
Gerry Melino,Q55233297,,,,,,1953,
Laurentius Willem Chatrou,Q5971827,,,,,,1966,
Abdul M Mouazen,Q88125964,,,,,,1966,
Kodi Ravichandran,Q28112821,,,,,,1964,
Magdalena Radwanska,Q57082742,,,,,,1968,
Stefan Magez,Q56541539,,,,,,1968,
Fred Brackx,Q102282350,,,,,,1948,
Erik Paredis,Q58887249,,,,,,1965,
Gwen Sys,Q90853905,,,,,,1969,
Guy De Mulder,Q104681835,,,,,,1965,
Dominique Van de Velde,Q87666081,,,,,,1969,
Wei Hong Zhang,,,,,,,1963,
Peter Decat,Q90739798,,,,,,1967,
Michel De Pauw,Q97092355,,,,,,1962,
Nathalie Roche,Q83551690,,,,,,1967,
Bruno Linclau,Q59188820,,,,,,1967,
Frank Smets,Q15875350,,Professor Frank Smets - Practical Considerations of pan-European Supervision (cropped).png,Frank Smets,,,1964,
Marie Bénédicte Dembour,Q94097629,,,,,,1961,
Jozef Kluyskens,Q2311232,,Jozef Kluyskens - rector Gent - Belgium.jpg,Jozef Kluyskens,,,1771,1843
Jean Baptiste Hellebaut,Q55233040,,,,,,1774,1819
Jacques-Joseph Haus,Q5793639,,,,,,1796,1881
Leopold August Warnkönig,Q85842,,Leopold August Warnkönig TübProfGalerie.jpg,,,,1794,1866
Pierre De Ryckere,Q2280127,,Pierre De Ryckere.jpg,,,,1793,1863
"Bernard, François, Joseph Van Wambeke",Q61695432,,,,,,1764,1841
Johan Rudolph Thorbecke,Q182509,,Johan Heinrich Neuman - Johan Rudolf Thorbecke.jpg,Johan Rudolf Thorbecke,,,1798,1872
Jean Charles Van Rotterdam,Q18612626,,,,,,1759,1834
A. de Block,Q55232004,,,,,,1920,1999
Julius Mac Leod,Q2010726,,Julius Mac Leod - Belgische prof. - Gent.jpg,Julius Mac Leod,,,1857,1919
Louis-Vincent Raoul,Q18115790,,Louis-Vincent Raoul.jpg,Louis-Vincent Raoul,,,1770,1848
Johannes Matthias Schrant,Q15446177,,JMSchrantSr.jpg,Joannes Matthias Schrant,,,1783,1866
Paul Thomas,Q15880594,,"Paul Thomas (1852-1937), professeur de Littérature ancienne..jpg",,,,1852,1937
Jacques Louis Kesteloot,Q55232624,,,,,,1778,1852
François Egide Verbeeck,Q55233057,,,,,,1779,1848
Charles Van Coetsem,Q62078523,,,,,,1788,1865
Charles François Antoine Morren,Q2959113,,Charles François Antoine Morren00.jpg,Charles François Antoine Morren,,,1807,1858
Franz Cumont,Q1380415,,Franz Cumont.jpg,Franz Cumont,,,1868,1947
Ernest Dubois,Q105221687,,,,,,1868,1935
Georges Hulin de Loo,Q3102904,,,,,,1862,1945
Charles Michel,Q33837429,,,,,,1853,1929
Jules Nossent,Q55232275,,,,,,1845,1911
Léon Parmentier,Q52148482,,,,,,1863,1929
Henri Pirenne,Q312501,,Henry.Pirenne.Portrait.gif,Henri Pirenne,,,1862,1935
Oscar Pyfferoen,Q42091788,,,,,,1868,1908
