volledige naam,QID,facebook,social media followers,image,commons,linkedin,twitter,gemeente,functie,partij
Inge Simons,,,,,,,,Tervuren,Gemeenteraadslid,GT-Open Vld
Inge Willems,,,,,,,,Tielt-Winge,Gemeenteraadslid,Open Vld
Ingrid Claes,Q2895291,,,Ingrid-claes.jpg,,,,Geetbets,,CD&V
Ingrid Gille,,,,,,,,Haacht,,
Ingrid Moens,,,,,,,,Borgloon,Lid van de Raad voor Maatschappelijk Welzijn,sp.a
Ingrid Pira,Q13732741,ingrid.pira.7,2053,Ingrid Pira - 2019.jpg,,,IngridPira1,Mortsel,,Groen
Irene Hoppe,,,,,,,,Zwijndrecht,Gemeenteraadslid,Groen
Iris Vermeir,,,,,,,,Melle,Lid van het Bijzonder Comité voor de Sociale Dienst,
Ismail Ayed,,,,,,,,Limburg,,N-VA
Ivan Delaere,Q2009984,,,,,,,Pittem,Burgemeester,CD&V
Ivo Maes,,,,,,,,Lanaken,Gemeenteraadslid,sp.a - Groen
Jaak Fransen,Q2448228,,,,,,,Pelt,Burgemeester,CD&V
Jack Jacobs,,,,,,,,Rijkevorsel,,Gemeentebelangen
Jan Adams,,,,,,,,Borsbeek,Gemeenteraadslid,N-VA
Jan Baeyens,,,,,,,,Wichelen,Gemeenteraadslid,
Jan Bergmans,,,,,,,,Genk,,N-VA
Jan Bosmans,,,,,,,,Kalmthout,Lid van het Bijzonder Comité voor de Sociale Dienst,
Jan Breyne,Q2161963,,,,,,,Ieper,,CD&V
Jan Broes,,,,,,,,Sint-Katelijne-Waver,,N-VA
Jan Buelens,,,,,,,,Kapelle-op-den-Bos,Gemeenteraadslid,N-VA
Jan Buysse,,,,,,,,Bertem,,CD&V
Jan Claessen,,,,,,,,Antwerpen,,
Jan Claus,,,,,,,,Mortsel,,N-VA
Jan Cools,,,,,,,,Lokeren,,CD&V
Jan Cosijn,,,,,,,,Zottegem,,
Jan Creemers,Q29440252,,,,,,,Maaseik,Burgemeester,CD&V
Jan Cuyle,,,,,,,,Blankenberge,Lid van het Bijzonder Comité voor de Sociale Dienst,N-VA
Jan D'Hoe,,,,,,,,Denderleeuw,Gemeenteraadslid,N-VA
Jan Daem,,,,,,,,Roosdaal,Lid van de Raad voor Maatschappelijk Welzijn,
Jan Dalemans,Q64667314,,,,,,,Hechtel-Eksel,Burgemeester,HE
Jan De Beule,,,,,,,,Zelzate,,VLD-SD
Jan De Bie,,,,,,,,Merksplas,,Groen
Jan De Dier,,,,,,,,Denderleeuw,Burgemeester,N-VA
Jan De Graef,,,,,,,,Hamme,,N-VA
Jan De Haes,,,,,,,,Antwerpen,,N-VA
Jan De Nul,,,,,,,,Denderleeuw,,CD&V
Jan De Prins,,,,,,,,Zoersel,,CD&V
Jan Deweer,,,,,,,,,,Vlaams Belang
Jan Dillen,,,,,,,,Ranst,,N-VA
Jan Dumon,,,,,,,,Merksem,,N-VA
Jan Durnez,Q2226733,,,Jan Durnez - 2018.jpg,,,,Ieper,Burgemeester,
Jan Fiers,,,,,,,,Oost-Vlaanderen,Provincieraadslid,
Jan Guns,,,,,,,,Aartselaar,Gemeenteraadslid,Open Vld
Jan Hendriks,,,,,,,,Hamont-Achel,,PRO Hamont-Achel
Jan Herman,,,,,,,,Kruisem,,N-VA
Jan Hermans,,,,,,,,Lier,,LIER&KO
Jan Hofkens,Q17496941,,,,,,,Wommelgem,,N-VA
Jan Jacobs,,,,,,,,Buggenhout,,CD&V
Jan Jambon,Q1865725,jan.jambon,89269,Jan Jambon.jpg,Jan Jambon,jan-jambon-a5989a5,janjambon,Brasschaat,Burgemeester,N-VA
Jan Jans,,,,,,,,Heusden-Zolder,,VLAAMS BELANG
Jan Laurens,,,,,,,,Ieper,,CD&V
Jan Laurys,Q3161704,,,,,,,Diest,Burgemeester,DDS
Jan Lemmens,,,,,,,,Tielt-Winge,Lid van het Bijzonder Comité voor de Sociale Dienst,N-VA
Jan Lenssens,,,,,,,,Steenokkerzeel,Lid van het Bijzonder Comité voor de Sociale Dienst,Klaver-NVA
Jan Leus,,,,,,,,Heers,,N-VA
Jan Lievens,,,,,,,,Koekelare,,Open Vld
Jan Loones,Q784199,,,,,,,Koksijde,,
Jan Maas,,,,,,,,Neerpelt,Gemeenteraadslid,CD&V
Jan Melis,,,,,,,,Meerhout,,cd
Jan Moons,,,,,,,,Heist-op-den-Berg,Burgemeester,N-VA
Jan Neven,,,,,,,,Kortessem,Gemeenteraadslid,CD&V
Jan Nevens,,,,,,,,Aalst,,N-VA
Jan Pauwels,,,,,,,,Nevele,,N-VA
Jan Penris,Q1817068,,,,,,,Merksem,,VLAAMS BELANG
Jan Persoon,,,,,,,,Zelzate,Gemeenteraadslid,CD&V Vrij Zelzate
Jan Peumans,Q951432,peumansjan,,(Jan Peumans) Latvijā viesojas Beļģijas Karalistes Flandrijas reģiona parlamenta priekšsēdētājs.jpg,Jan Peumans,,,Riemst,,N-VA
Jan Poppe,,,,,,,,Berchem,,N-VA
Jan Rosseel,,,,,,,,Ingelmunster,,De Brug/N-VA/OpenVLD
Jan Sels,,,,,,,,Oud-Turnhout,,N-VA
Jan Spooren,Q17038223,,1132,,,,SpoorenJan,Tervuren,Burgemeester,N-VA
,,,1132,,,,,,,
Jan Swinnen,,,,,,,,Vosselaar,,N-VA
Jan Van Asch,,,,,,,,Sint-Katelijne-Waver,,CD&V
Jan Van Camp,,,,,,,,Puurs,,N-VA
Jan Vandamme,,,,,,,,Middelkerke,Lid van de Raad voor Maatschappelijk Welzijn,
Jan Van Dyck,,,,,,,,Herenthout,,S.A.M.E.N.
Jan Van Gorp,,,,,,,,Lier,,Vlaams Belang
Jan Van Hee,,,,,,,,,,Vooruit en Groen
Jan Van hoof,,,,,,,,Steenokkerzeel,,GROEN
Jan Verbeke,,,,,,,,Izegem,,N-VA
Jan Vissers,,,,,,,,Oud-Turnhout,Gemeenteraadslid,N-VA
Jan Weyers,,,,,,,,Beveren,Gemeenteraadslid,
Jan Willems,,,,,,,,Gistel,,CD&V
Jan Zander,,,,,,,,Antwerpen,,Onafhankelijk
Jean Cornand,,,,,,,,Sint-Pieters-Leeuw,,PF
Jean Daenen,,,,,,,,Wielsbeke,Lid van de Raad voor Maatschappelijk Welzijn,
Jean Dewulf,,,,,,,,Koksijde,Gemeenteraadslid,
Jean Dooms,,,,,,,,Ternat,,LVB
Jean Levaux,,,,,,,,Voeren,,RAL
Jean Mazy,,,,,,,,Drogenbos,,UF
Jean Meeus,,,,,,,,Kampenhout,,CD&V
