volledige naam,QID,facebook,social media followers,image,commons,linkedin,twitter,gemeente,functie,partij
Luc Van Camp,,,,,,,,Boom,,
Luc Van Hove,,,,,,,,Wommelgem,Lid van de Raad voor Maatschappelijk Welzijn,
luc Van Looy,,,,,,,,Nijlen,,
Luc Vanparys,Q2321943,,,,,,,Oostkamp,Burgemeester,
Luc Verbanck,,,,,,,,Oosterzele,Gemeenteraadslid,
Luc Verbeeck,,,,,,,,Tremelo,Lid van het Bijzonder Comité voor de Sociale Dienst,
Luc Vleugels,Q97314990,,,,,,,Heist-op-den-Berg,Burgemeester,CD&V
Ludo Willems,,,,,,,,Grobbendonk,Lid van het Bijzonder Comité voor de Sociale Dienst,
Lukas Jacobs,Q13775919,,,,,,,Kalmthout,Burgemeester,CD&V
Luk De Mey,,,,,,,,Hamme,,CD&V HammeMoerzeke
Luk Lemmens,Q22955386,,,,,,,Antwerpen,,N-VA
Lydia Nies,,,,,,,,Zele,Gemeenteraadslid,
Magda Claes,,,,,,,,Schelle,Lid van de Raad voor Maatschappelijk Welzijn,
Maïlys Kahn,,,,,,,,Kraainem,Gemeenteraadslid,
Manon Bas,,,,,,,,Grimbergen,Lid van de Raad voor Maatschappelijk Welzijn,Open VLD
Marc Beelen,,,,,,,,Hoeilaart,Lid van de Raad voor Maatschappelijk Welzijn,
Marc Bels,,,,,,,,Sint-Truiden,,CD&V
Marc Bosman,,,,,,,,Erpe-Mere,,CD&V
Marc Claeys,,,,,,,,Zwevegem,,sp.a
Marc Coenen,,,,,,,,Houthalen-Helchteren,,VLAAMS BELANG
Marc Coppens,,,,,,,,,,CD&V
Marc De Buck,Q3105327,,,,,,,Oost-Vlaanderen,,
Marc De Pauw,Q2194393,,,,,,,Destelbergen,Burgemeester,
Marc Deprez,,,,,,,,Diksmuide,,Idee Diksmuide
Marc Devillé,,,,,,,,Halle,Gemeenteraadslid,VLAAMS BELANG
Marcel Claes,,,,,,,,Bonheiden,,N-VA
Marcel Loos,,,,,,,,Peer,Lid van de Raad voor Maatschappelijk Welzijn,APPEL
Marc Faes,,,,,,,,Ternat,,Voor Ternat
Marc Gielens,,,,,,,,Aalst,Gemeenteraadslid,
Marc Hannes,,,,,,,,Olen,,sp.a sociaal & anders
Marc Hermans,,,,,,,,Diepenbeek,Gemeenteraadslid,sp.a
Marc Huygen,,,,,,,,Bilzen,Gemeenteraadslid,N-VA
Marc Huys,,,,,,,,Sint-Niklaas,,Vlaams Belang
Marc Jans,,,,,,,,Heist-op-den-Berg,Gemeenteraadslid,N-VA
Marc Joseph,,,,,,,,Wemmel,,
Marc Konings,,,,,,,,Riemst,,N-VA
Marc Lecocq,,,,,,,,Landen,,sp.a
Marc Leys,,,,,,,,Diest,,
Marc Maes,,,,,,,,Berendrecht-Zandvliet-Lillo,,NV-A
Marc Morris,,,,,,,,Bertem,,CD&V
Marc Mus,,,,,,,,Damme,,CD&V+
Marco Nicoli,,,,,,,,Leopoldsburg,Gemeenteraadslid,N-VA
Marc Plancke,,,,,,,,Ninove,Gemeenteraadslid,
Marc Sluys,,,,,,,,Vlaams-Brabant,,N-VA
Marc Smans,Q27106606,,,,,,,Beerse,Burgemeester,N-VA
Marc Snoeck,Q61653974,,,Marc snoeck-1651675182.jpg,Marc Snoeck,,,Halle,Burgemeester,sp.a
Marc Somers,,,,,,,,Zoersel,Gemeenteraadslid,sp.a
Marc Van Dun,,,,,,,,Ravels,,N-VA
Marc Van Roy,,,,,,,,Mol,Gemeenteraadslid,N-VA
Marc Willems,,,,,,,,Tremelo,,
Marc Willen,,,,,,,,Dilbeek,,LvBurgemeester-VLD
Maria Boven,,,,,,,,Meerhout,,
Maria Eggen,,,,,,,,Diest,,
Mariam Amal,,,,,,,,Zwijndrecht,,Groen
Marie Jans,,,,,,,,Hoeselt,Lid van de Raad voor Maatschappelijk Welzijn,N-VA/Nieuw
Marie Nys,,,,,,,,Wemmel,Gemeenteraadslid,L.B.
Marie Somers,,,,,,,,Oostkamp,,
Marijke Huys,,,,,,,,Bierbeek,,
Marina Gys,,,,,,,,Arendonk,,N-VA
Marina Pauly,,,,,,,,Riemst,,CD&V
Mario Geys,,,,,,,,,,Vlaams Belang
Mark Van Roy,,,,,,,,Tervuren,,Groen+
Mark Vos,Q2399585,,,,,,,Riemst,Burgemeester,CD&V
Marleen Maes,,,,,,,,De Haan,,Groen
Marlies Oyen,,,,,,,,Genk,Lid van de Raad voor Maatschappelijk Welzijn,CD&V
Maxim Veys,Q65268997,,,Maxim Veys.jpg,,,,Kortrijk,,Sp.a
Michaël Maes,,,,,,,,Beerse,Lid van het Bijzonder Comité voor de Sociale Dienst,CDE-Vlim.be
Michel Joly,,,,,,,,Hoeilaart,Gemeenteraadslid,N-VA
Michiel Wils,,,,,,,,Arendonk,,CD&V
Mie Branders,Q2604859,,,,,,,Antwerpen,,PVDA
Mieke Bouve,Q2228690,,,,,,,Gent,,Open-Vld
Mieke Claes,Q112844664,mie.claes,,,,mieke-claes-737873187,,Limburg,,N-VA
Mohsin Abbas,,,,,,,,,,sp.a-stadsmakers
Monica Goris,,,,,,,,Tremelo,,N-VA
Monique Dens,,,,,,,,Rumst,,N-VA
Monique Maes,,,,,,,,Kluisbergen,,
Monique Suls,,,,,,,,Zandhoven,,N-VA Zandhoven
Myriam Maes,,,,,,,,Vosselaar,,VOORUIT
Nancy Brys,,,,,,,,Bornem,,Vlaams Belang
Nancy Jacobs,,,,,,,,Kapelle-op-den-Bos,Lid van het Bijzonder Comité voor de Sociale Dienst,Groen
Nancy Lucas,,,,,,,,Tessenderlo,Lid van de Raad voor Maatschappelijk Welzijn,
Nawal Farih,Q64210712,,,,,,,Genk,,CD&V
Nele Beckers,,,,,,,,Genk,,CD&V
Nele Caus,,,,,,,,Brugge,,N-VA
Nele Devillé,,,,,,,,Rotselaar,Gemeenteraadslid,N-VA
Nele Geudens,,,,,,,,Meerhout,Burgemeester,cd
Nele Lijnen,Q2256410,,,,,,,Limburg,,HE lijst burgemeestr
Nico Vissers,,,,,,,,Schoten,Gemeenteraadslid,CD&V
Niko Geldhof,,,,,,,,Oostende,,sp.a-stadsmakers
Noël Devos,,,,,,,,Geel,,sp.a
Ömer Ünlü,,,,,,,,Beringen,,sp.a
Orhan Sahin,,,,,,,,Asse,,CD&V
Oscar Deprez,,,,,,,,Ichtegem,Gemeenteraadslid,
Pablo Annys,Q113194316,,,,,,,Brugge,,Vooruit Brugge
Pascal Maes,,,,,,,,Hooglede,,Allen 8830
Paul Bevers,,,,,,,,Rijkevorsel,,Gemeentebelang&VLD
Paul Braem,,,,,,,,Zedelgem,,
Paul Carion,,,,,,,,Gavere,,Open Vld - VOG
Paul Claes,,,,,,,,Pepingen,Gemeenteraadslid,Open Vld
Paul Coolen,,,,,,,,Bocholt,Gemeenteraadslid,Nieuwe Unie
Paul Cools,,,,,,,,Pepingen,Lid van de Raad voor Maatschappelijk Welzijn,
Paul Cordy,Q26828248,,,Paul Etienne Yvonne Cordy.jpg,,,,Antwerpen,Districtsburgemeester,N-VA
Paul Dams,,,,,,,,Tremelo,Burgemeester,Open Vld
Paul De Dier,,,,,,,,Haaltert,Gemeenteraadslid,
Paul De Neve,,,,,,,,Evergem,,Groen
Paul Denis,,,,,,,,Tongeren,,CD&V
Paul Deprez,,,,,,,,Geraardsbergen,,Onafhankelijk
Paul De Vos,,,,,,,,Herzele,Gemeenteraadslid,
Paul Diels,,,,,,,,Lille,Burgemeester,CD&V
Paul Dirickx,,,,,,,,Alken,,Onafhankelijk
Paul Hermans,,,,,,,,Grimbergen,,CD&V
Paul Jacobs,,,,,,,,Haacht,,CD&V
Paul Janssen,,,,,,,,Mol,Gemeenteraadslid,N-VA
Paul Lievens,,,,,,,,Zottegem,,CD&V
Paul Maes,,,,,,,,Waasmunster,Lid van het Bijzonder Comité voor de Sociale Dienst,
Paul Maris,,,,,,,,Zonhoven,Lid van de Raad voor Maatschappelijk Welzijn,Open Vld
Paul Meeus,Q17428945,,,,,,,Turnhout,Gemeenteraadslid,VLAAMS BELANG
Paul Meyers,,,,,,,,De Haan,,bewust
Paul Meynen,,,,,,,,Kasterlee,Lid van de Raad voor Maatschappelijk Welzijn,
Paul Nagels,,,,,,,,Zandhoven,,N-VA Zandhoven
Paul Nies,,,,,,,,Ham,,Groen
Paul Nijs,,,,,,,,Aalst,Lid van de Raad voor Maatschappelijk Welzijn,
Paul Pues,,,,,,,,Oud-Heverlee,,Groen
Paul Wens,,,,,,,,Malle,,CD&V
Paul Willems,,,,,,,,Tielt-Winge,,N-VA
Philip Maes,,,,,,,,Antwerpen,Districtsraadslid,
Philippe Nys,,,,,,,,Limburg,Provincieraadslid,Open Vld
Pierre Neefs,,,,,,,,Leuven,Gemeenteraadslid,sp.a
Pierre Rolin,Q18088519,,,,,,,Sint-Genesius-Rode,Aangewezen burgemeester,IC-GB
Pierre Simon,,,,,,,,Kraainem,,Défi/MR/Ind.
Pinar Akbas,,,,,,,,Hasselt,,N-VA
Pol Bos,,,,,,,,Zonhoven,Gemeenteraadslid,N-VA
Pol George,,,,,,,,De Panne,,CD&VPLUS
Pol Panis,,,,,,,,Zemst,Lid van de Raad voor Maatschappelijk Welzijn,
Raf Pauwels,,,,,,,,Maldegem,,Open Vld
Raf Serneels,,,,,,,,Ranst,,N-VA
Raf Van Rooy,,,,,,,,Lille,,Groen
Reddy De Mey,Q2419217,,,,,,,Oostende,,Vlaams Belang
Regina Wolfs,,,,,,,,Boortmeerbeek,,N-VA
René De Vos,,,,,,,,Pepingen,,LVB-LIJSTvdBURGER
René Jacobs,,,,,,,,Scherpenheuvel-Zichem,,N-VA
René Swinnen,Q19842497,,,,,,,Zoutleeuw,Lid van de Raad voor Maatschappelijk Welzijn,
Ria Hendrikx,,,,,,,,Zonhoven,,Open Vld
Ria Maes,,,,,,,,Hemiksem,Gemeenteraadslid,sp.a
Rik Daems,Q1382799,,1606,2021 Rik Daems.jpg,Rik Daems,,RikDaems,Leuven,,Open Vld
Rik Frans,,,,,,,,Stabroek,Burgemeester,N-VA
Rina Simons,,,,,,,,Genk,,Vooruit
Rina Ven,,,,,,,,Lommel,,sp.a
Rob Beenders,Q17350460,,,,,,,Hasselt,,HELEMAAL HASSELT
Rob Guns,,,,,,,,Kasterlee,,CD&V
Robin Jacobs,,,,,,,,Essen,,N-VA/PLE
Rob Mennes,Q26132928,,,,,,,Schelle,Burgemeester,CD&V
Roel Deseyn,Q3438541,,,"Roel Deseyn, gedreven en geëngageerd.jpg",,,,Kortrijk,,CD&V 4.0
Roger Boone,Q2855571,,,,,,,Nevele,Gemeenteraadslid,
Roger Broos,,,,,,,,Kortenberg,Gemeenteraadslid,sp.a
Roger Buyse,,,,,,,,Wemmel,Lid van de Raad voor Maatschappelijk Welzijn,
Roger Dons,,,,,,,,Berendrecht-Zandvliet-Lillo,Districtsraadslid,Team 2040
Roger Seys,,,,,,,,Leopoldsburg,,sp.a
Ronald Parys,,,,,,,,Ternat,Burgemeester,LVB
Rosa Berger,,,,,,,,Opglabbeek,Lid van de Raad voor Maatschappelijk Welzijn,CD&V
Rudi Claes,,,,,,,,Ranst,Lid van het Bijzonder Comité voor de Sociale Dienst,Vlaams belang
Rudi Kennes,Q108788753,,,,Rudi Kennes,,,Willebroek,,sp.a
Rudi Pauwels,,,,,,,,Brasschaat,,Brasschaat 2012
Rudy Coddens,Q2090226,,,,,,,Gent,,Vooruit
Rudy Renders,,,,,,,,Boortmeerbeek,Gemeenteraadslid,N-VA
Sabine Wyns,,,,,,,,Holsbeek,,N-VA
Sam De Waele,,,,,,,,Zulte,Gemeenteraadslid,CD&V
Sam Gabriels,,,,,,,,Stabroek,,Onafhankelijk
Sami Souguir,Q15881659,,,Sami Souguir Gent.jpg,,,,Gent,,Open-Vld
Sam Marx,,,,,,,,Tongeren,,Onafhankelijk
Sammy Mahdi,Q75807853,sammymahdipagina,33381,Staatssecretaris voor Asiel en Migratie Sammy Mahdi (cropped).jpg,Sammy Mahdi,,sammymahdi,,,CD&V
Samuel Paul,,,,,,,,,,N-VA
Sam van Rooy,Q48801368,,18962,Sam van Rooy.jpg,,,SamvanRooy1,,,VLAAMS BELANG
Sander Ooms,,,,,,,,Herenthout,,Eenheid - N-VA
Sandra Denis,,,,,,,,Schoten,Gemeenteraadslid,CD&V
Sandra Duque,,,,,,,,Maasmechelen,Lid van het Bijzonder Comité voor de Sociale Dienst,
Sandra Jans,,,,,,,,Wellen,,BETER BILZEN
Sandra Maes,,,,,,,,Hove,Lid van het Bijzonder Comité voor de Sociale Dienst,N-VA
Sandra Noé,,,,,,,,Bierbeek,,open bierbeek
Sandy Evrard,Q3041331,,,,,,,Mesen,Burgemeester,MLM
Sandy Neel,,,,,,,,Antwerpen,Districtsraadslid,
Sarah Cools,,,,,,,,Willebroek,,Open VLD
Sarah Poppe,,,,,,,,Moerbeke,,Open Vld
Sara Nies,,,,,,,,Oudsbergen,,CD&V Oudsbergen
Sara Vacca,,,,,,,,Dilsen-Stokkem,,N-VA
Serdar Celik,,,,,,,,Zele,,SP.A
Simon Dens,,,,,,,,Vorselaar,,CD&V
Sofie Bracke,Q2166592,,,Sofie Bracke (2022).jpg,,,,Gent,,Open-Vld
Sofie Faes,,,,,,,,Brecht,,CD&V - CDB
Sofie Goffin,,,,,,,,Schoten,Gemeenteraadslid,CD&V
Sofie Joosen,Q17350683,,1242,,,,SofieJoosen,Duffel,Burgemeester,N-VA
Sofie Mol,,,,,,,,Wevelgem,,CD&V
Sofie Sas,,,,,,,,Borgerhout,Districtsraadslid,sp.a - Groen
Sonja Becq,Q607864,,,Sonja Becq.jpg,Sonja Becq,,,Meise,,CD&V
Sonja Claes,Q3490478,,,,,,,Heusden-Zolder,Gemeenteraadslid,CD&V-Plus
Sonja Greven,,,,,,,,Bilzen,Lid van het Bijzonder Comité voor de Sociale Dienst,
Sven Collin,,,,,,,,Boutersem,Gemeenteraadslid,
Sven Deckers,,,,,,,,Brecht,Burgemeester,N-VA
Sven Simons,,,,,,,,Brasschaat,,CD&V
Ugo Magnus,,,,,,,,Huldenberg,Gemeenteraadslid,Groen
Urbain Meers,,,,,,,,Wachtebeke,,
Urbain Ureel,,,,,,,,Zedelgem,Lid van het Bijzonder Comité voor de Sociale Dienst,Groen
Vally Jans,,,,,,,,Hoeselt,Lid van de Raad voor Maatschappelijk Welzijn,N-VA/Nieuw
Veli Yüksel,Q2085408,,,Veli Yüksel.jpg,Veli Yüksel,,,Gent,,CD&V
Vera Celis,Q1965796,,,,,,,Geel,Burgemeester,N-VA
Vera Cole,,,,,,,,Zwijndrecht,Gemeenteraadslid,Groen
Vera Hans,,,,,,,,Edegem,,Groen
Vera Jans,Q2613430,,,Vera Jans (Vlaams Volksvertegenwoordiger).jpg,Vera Jans,,,Lanaken,,CD&V - Lanaken
Veva Daniels,,,,,,,,Haacht,,Groen
Ward Kennes,Q2690582,,,,,,,Kasterlee,Burgemeester,CD&V
Ward Leemans,,,,,,,,Mechelen,,CD&V
Ward Willems,,,,,,,,Herk-de-Stad,Lid van het Bijzonder Comité voor de Sociale Dienst,CD&V
Wendy Cox,,,,,,,,Kortessem,,CD&V
Wendy Simons,,,,,,,,Merksem,,N-VA
Wendy Somers,,,,,,,,Borsbeek,,Onafhankelijk
Werner Hens,,,,,,,,Balen,,sp.a Balen 2025
Luiz Delphy,Q55088708,,,,,,,Beveren,,CD&V Beveren
Peter Sloly,Q7176983,,20202,Peter Sloly.jpg,,petersloly,OPSChiefSloly,,,CD&V+2230
Willy Claes,,,,,,,,Kortessem,Gemeenteraadslid,CD&V
Willy Goos,,,,,,,,Diest,,sp.a
Willy Maes,,,,,,,,Olen,,N-VA
Willy Segers,Q2459291,,,,,,,Dilbeek,Burgemeester,N-VA LvBurgemeester
Wim Caeyers,Q64137704,,,,,,,Mol,Burgemeester,CD&V
Wim Claes,,,,,,,,Kontich,,Open VLD
Wim Cools,,,,,,,,Zuienkerke,,Lijst Burgemeester
Wim Daems,,,,,,,,Westerlo,Lid van de Raad voor Maatschappelijk Welzijn,
Wim Dams,,,,,,,,Westerlo,,CD&V
Wim Declercq,,,,,,,,Dentergem,,
Wim De Waele,,,,,,,,Kaprijke,,SAMEN
Wim Dries,Q2126084,wim.dries.genk,,,,wimdries,wimdries,Genk,Burgemeester,CD&V
Wim Goossens,,,,,,,,Roosdaal,Burgemeester,CD&V
Wim Janssens,,,,,,,,De Panne,,ACTIE
Wim Lammens,,,,,,,,Erpe-Mere,,CD&V
Wim Verbeke,,,,,,,,Meise,,CD&V
Wim Verlinde,,,,,,,,Wevelgem,,
Wim Wienen,Q2212289,,,Wim Wienen.jpg,,,,Hoboken,Districtsraadslid,VLAAMS BELANG
Xavier Roman,,,,,,,,Kluisbergen,,Gemeentebelangen
Yao Issifou,,,,,,,,Berchem,Districtsraadslid,Vooruit - Groen
Yasin Kilic,,,,,,,,Genk,,PROgenk
Youro Casier,Q45035973,,,,,,,Wervik,Burgemeester,
Yüksel Kalaz,Q112747917,,,,Yüksel Kalaz,,,Gent,,PVDA
Yves Buysse,Q3573534,,,,,,,Brugge,,VLAAMS BELANG
Yves Chanson,,,,,,,,Riemst,,N-VA
Yves Moens,,,,,,,,Waarschoot,Gemeenteraadslid,sp.a-plus
Yves Poppe,,,,,,,,Berlare,,CD&V
Yves Rega,,,,,,,,Heers,,N-VA
Yves Simons,,,,,,,,Landen,,CD&V
Zuhal Demir,Q2238704,ZuDemir,60534,ZUHAL DEMIR 675.jpg,Zuhal Demir,zuhal-demir-745a92188,Zu_Demir,Genk,,N-VA
Abderrahim Lahlali,Q27903935,,,,,,,Ronse,Gemeenteraadslid,
Abdullah Ibrahim,,,,,,,,Borgerhout,Districtsraadslid,Groen
Adelheid Hessel,,,,,,,,Staden,Lid van de Raad voor Maatschappelijk Welzijn,
Adriën Van Assche,,,,,,,,Horebeke,Lid van de Raad voor Maatschappelijk Welzijn,
Agnes Van Dyck,,,,,,,,Heist-op-den-Berg,Lid van de Raad voor Maatschappelijk Welzijn,
Alain De Vlieghe,Q13428868,,,,,,,Zuienkerke,Burgemeester,  Lijst Burgemeester
Alain Herremans,,,,,,,,Borgerhout,,N-VA
Alain Pardaen,Q14621690,,,,,,,Wetteren,Burgemeester,CD&V
Alain Wyffels,Q1982462,,,,,,,Langemark-Poelkapelle,Burgemeester,CD&V
Alain Yzermans,Q17429610,alain.yzermans,,,,,,Houthalen-Helchteren,Burgemeester,sp.a-Groen-Plus
Alexander Adams,,,,,,,,Deinze,,CD&V
Alexander De Croo,Q476596,,182940,First Minister Nicola Sturgeon meets with the Prime Minister of Belgium Alexander De Croo at COP26. (51650292908) (cropped).jpg,Alexander De Croo,,alexanderdecroo,Brakel,Burgemeester,Open Vld
Alexander De Vos,,,,,,,,Brugge,,CD&V
Alexander De Waele,,,,,,,,Harelbeke,Gemeenteraadslid,
Alexander Gilen,,,,,,,,Sint-Truiden,Gemeenteraadslid,Open Vld
Alexander Vandersmissen,Q94520605,,,,,,,Mechelen,Burgemeester,Vld-Groen-M+
Alexander Vercamer,,,,,,,,Oost-Vlaanderen,,
Alexandre Franck,,,,,,,,Wezembeek-Oppem,,LB-UNION
Alexis Calmeyn,Q66306063,,,,,,,Drogenbos,Burgemeester,Drogenbos Plus
Alex Marchand,,,,,,,,Diksmuide,Lid van het Bijzonder Comité voor de Sociale Dienst,CD&V
Alfons Gabriëls,,,,,,,,Herenthout,Burgemeester,GEMEENTEBELANGEN
Alfons Haagdoren,,,,,,,,Lommel,Gemeenteraadslid,sp.a
Alfons Scheys,Q26821261,,,,,,,Glabbeek,Lid van het Bijzonder Comité voor de Sociale Dienst,Dorpspartij
Alfons Willems,,,,,,,,Balen,Lid van de Raad voor Maatschappelijk Welzijn,
Alice Deckers,,,,,,,,Maasmechelen,,VLAAMS BELANG
Alice Verheye,,,,,,,,Sint-Martens-Latem,,Welzijn
Allessia Claes,Q64222344,,1570,,,,allessiaclaes,Scherpenheuvel-Zichem,,N-VA
Amelie Soenens,,,,,,,,Meulebeke,,Lijst burgemeester
Andre De Roubaix,,,,,,,,Pepingen,,CD&V
André De Wulf,,,,,,,,Zingem,Gemeenteraadslid,Open Vld
André Flamand,,,,,,,,Brakel,,Open Vld
André Raemdonck,,,,,,,,Hamme,,sp.a
Andres Vandewalle,,,,,,,,,,NieuwPittemEgem
André Van de Vyver,Q2471549,andre.vandevyver,,,,,,Zwijndrecht,Burgemeester,Groen
André Van Nieuwkerke,Q2848750,,,,,,,Brugge,,sp.a
André Willems,,,,,,,,Nieuwerkerken,,CD&V
Andries Gryffroy,Q17350628,,3172,,,,gryffroy,Oost-Vlaanderen,Provincieraadslid,
An Ghesquiere,,,,,,,,Wervik,Gemeenteraadslid,
Aniek Janssen,,,,,,,,Peer,Lid van het Bijzonder Comité voor de Sociale Dienst,
Anja Haverals,,,,,,,,Opwijk,Gemeenteraadslid,CD&V
Anja Van Engeland,Q53454017,,,,,,,Lommel,,Samen Vooruit
Anja Vanrobaeys,Q64667306,,,"Anja Vanrobaeys, Aalst May Day 2022.jpg",Anja Vanrobaeys,,,Erpe-Mere,,sp.a-Groen
Anke Van dermeersch,Q2525937,,12452,Senator Anke Van dermeersch.jpg,Anke Van dermeersch,,anke_online,Antwerpen,,VLAAMS BELANG
Anke Van dermeersch,Q2525937,,,Anke Van dermeersch (2016).jpg,,,,,,
Ankie D'Hollander,,,,,,,,Gavere,,Gavere durft/N-VA
Ann De Ridder,,,,,,,,Sint-Pieters-Leeuw,,CD&V en N-VA
Anneke Dejonghe,Q52628988,,,,,,,Meulebeke,,Lijst burgemeester
Annelies Carron,,,,,,,,Roeselare,Gemeenteraadslid,
Annelies Penning,,,,,,,,Lovendegem,Gemeenteraadslid,N-VA
Annelies Veron,,,,,,,,Boechout,,N-VA
Anne-Marie De Mey,,,,,,,,Duffel,,Open VLD
Annemie Goris,,,,,,,,Lier,,N-VA
Annemie Janssens,,,,,,,,Lint,,N-VA
Annick De Ridder,Q2851576,,15927,Annick De Ridder.jpg,,,AnnickDeRidder,,,N-VA
Annick Vermeulen,Q20871280,,,,,,,Zedelgem,Burgemeester,CD&V-Nieuw
Annick Willems,Q2216151,,,,,,,Oost-Vlaanderen,,
Annie Vermeersch,,,,,,,,Ledegem,Lid van het Bijzonder Comité voor de Sociale Dienst,CD&V/VD
Annie Verschuere,,,,,,,,Dentergem,,            EENDRACHT
Ann Schevenels,Q108434762,,,,,,,Vlaams-Brabant,Burgemeester,Open VLD
Ann Schrijvers,,,,,,,,Zutendaal,Burgemeester,ZVP
Ann Van den Broeck,,,,,,,,Meise,,  N-VA
Ann Van Hecke,,,,,,,,Zelzate,,Open Vld plus
Ann Van Mechelen,,,,,,,,Lille,,      CD&V
An-Sofie Maes,,,,,,,,Lommel,,Samen Vooruit
An Vanden Boer,,,,,,,,Lommel,,
An van den Boom,,,,,,,,Wachtebeke,,
An Vanden Bussche,,,,,,,,Tielt,,Groen
An Van den Spiegel,,,,,,,,Roosdaal,,CD&V
An Vanderhaeghe,,,,,,,,Lichtervelde,Lid van de Raad voor Maatschappelijk Welzijn,
An Van Driessche,,,,,,,,Berlare,,  Open Vld
An Vanvuchelen,,,,,,,,Heusden-Zolder,Lid van het Bijzonder Comité voor de Sociale Dienst,Vooruit
An Van Wesemael,,,,,,,,Lede,,  N-VA
An Weckhuyzen,,,,,,,,,,CD&V
An Winkelmolen,,,,,,,,Hasselt,Lid van de Raad voor Maatschappelijk Welzijn,GROEI met Open Vld
Armand Hermans,,,,,,,,Wemmel,,
Armand Willems,,,,,,,,Tielt-Winge,Lid van de Raad voor Maatschappelijk Welzijn,
Arne De Brabandere,,,,,,,,Hooglede,,      CD&V
Arnold Van Aperen,Q2567675,,,,,,,Hoogstraten,,Hoogstraten Leeft
Arnold Willem,,,,,,,,Moerbeke,Gemeenteraadslid,
Arnoud Nijssen,Q105729524,,,,,,,Nieuwerkerken,,  CD&V
Barbara Meyers,,,,,,,,Bornem,,CD&V
Benjamin Boone,,,,,,,,Zottegem,,Groen
Ben Van Duppen,,,,,,,,Borgerhout,,PVDA
Bercy Slegers,Q2896965,,,,,,,Wervik,,
Bernard Galle,,,,,,,,Wevelgem,,      CD&V
Bernard Heens,Q2076226,,,,,,,Heuvelland,,    CD&V
Bernard Liégeois,,,,,,,,Voeren,,R.A.L.
Björn Anseeuw,Q17332663,,1997,Björn Anseeuw - 2019.jpg,,,bjanseeuw,Oostende,,N-VA
Bob Savenberg,Q2632794,,,,,,,Dilbeek,,LVBurger Open-VLD
Boudewijn Laloo,Q20853374,,,,,,,Brugge,,CD&V
Bram Verschuere,,,,,,,,Kortrijk,Lid van het Bijzonder Comité voor de Sociale Dienst,
Bram Vrancken,,,,,,,,Bierbeek,Lid van het Bijzonder Comité voor de Sociale Dienst,
Bruno François,,,,,,,,Gooik,Gemeenteraadslid,N-VA
Bruno Janssens,,,,,,,,Haacht,Gemeenteraadslid,
Bruno Lemaire,,,,,,,,Overijse,,Plus
Bruno Valkeniers,Q2927014,,,,,,,Antwerpen,,VLAAMS BELANG
Camille Michielsen,,,,,,,,Beerse,Gemeenteraadslid,
Carine Dewaele,Q1887728,,,,,,,Lendelede,Burgemeester,CD&V
Carl Decaluwé,Q2173071,,,Carl Decaluwé R01.jpg,Carl Decaluwé,,,West-Vlaanderen,Gouverneur,
Carl Hanssens,,,,,,,,Sint-Niklaas,,N-VA
Carl Vereecke,Q1987032,,,,,,,Kuurne,,
Carmen Ryheul,Q65258926,,,,,,,,,Vlaams Belang
Carmen Swinnen,,,,,,,,Kaprijke,Gemeenteraadslid,
Carmen Willems,Q113378456,,,,,,,Tongeren,Gemeenteraadslid,Open Vld
Caroline De Meerleer,,,,,,,,Aalst,,N-VA
Caroline Gennez,Q442540,,,Caroline Gennez 675.jpg,Caroline Gennez,,,Mechelen,,sp.a
Caroline Jansen,,,,,,,,Zoersel,Gemeenteraadslid,Open Vld
Caroline Janssens,,,,,,,,Laakdal,,  N-VA
Caroline Lagrange,,,,,,,,Hoeilaart,,      Open Vld
Caroline Persyn,,,,,,,,,,Vlaams-Belang
Caroline Ryde,,,,,,,,Heuvelland,,    N-VA
Caroline Van den bergh,,,,,,,,Aarschot,Lid van de Raad voor Maatschappelijk Welzijn,CD&V
Caroline Van der Heyden,,,,,,,,Lint,,CD&V
Caroline Vermeulen,,,,,,,,Kruibeke,,        N-VA
Cecile Sillis,,,,,,,,Asse,,  Groen
Cedric Dujardin,,,,,,,,Dilbeek,Gemeenteraadslid,sp.a
Charles Hubau,,,,,,,,Gavere,,Gavere durft/N-VA
Charlie Wyllie,,,,,,,,Oostende,Gemeenteraadslid,
Chris Bourgois,,,,,,,,Jabbeke,,CD&V
Chris De Wispelaere,Q4488907,,,,,,,Lovendegem,Burgemeester,CD&V
Chris François,,,,,,,,Tienen,,sp.a
Chris Janssens,Q15126994,,6819,Chris Janssens nieuwjaarsreceptie 2020.jpg,,,chrisjanssensVB,Genk,,    VLAAMS BELANG
Chris Lippens,Q64667424,,,,,,,Sint-Gillis-Waas,Burgemeester,CD&V
Chris Reniers,,,,,,,,Kapelle-op-den-Bos,,CD&V
Chris Selleslagh,Q61051445,,,,,,,Grimbergen,Burgemeester,  Open Vld
Chris Vermeulen,,,,,,,,Zwijndrecht,,Groen
Chris Willems,,,,,,,,Oud-Turnhout,,N-VA
Cindy Franssen,Q2972740,CindyFranssen76,2547,"EUCDW Board 01.02.2020 Porto, Portugal 10.jpg",Cindy Franssen,,franssencindy,Oudenaarde,,CD&V
Cindy Verbrugge,,,,,,,,De Panne,,VISIE 2020 & N-VA
Claire Gillis,Q52225281,,,,,,,Beveren,,
Claude Marinower,Q2977772,,,,,,,Antwerpen,,Open VLD
